id1,id2
135352,81979
123145,126233
185580,153329
185580,193083
185580,215619
196699,177364
184660,79811
259966,152661
169520,11039
253316,259408
121445,55149
136144,255641
124940,230143
2982,149121
43190,15101
235957,200120
257430,156929
197431,252414
219861,177005
158140,85987
126550,187701
47999,55382
131004,84582
242811,38335
138748,158278
152165,120405
128506,148377
110058,208144
159247,129037
100877,100411
57405,2387
57405,211885
171074,115575
200556,7573
172216,235117
188468,38869
163740,99870
3998,244700
35882,133389
257033,217480
71733,71851
96901,11810
41019,105602
21220,148011
195818,202872
107689,211223
210354,23572
188788,143039
64357,65626
78498,242381
78498,203560
58321,135695
84032,232377
186312,49943
186312,89662
196428,13390
246537,228011
148253,49835
174622,225797
145665,262047
75263,61323
158842,32678
117219,23628
138247,89574
209678,10857
175193,165537
208639,127989
96036,163820
111285,89665
44431,207835
44431,146885
186987,35793
90138,76961
90138,217452
86922,230672
184734,138848
219916,189543
30498,150834
242203,220563
158475,240086
158475,72938
158475,216573
158475,69985
197920,41269
204257,105729
204257,93047
204257,121572
225739,226501
223125,154403
85009,83465
40250,69509
28752,193633
205705,242093
171074,202695
231996,254849
83773,126814
105229,165382
83798,7705
142239,199091
191086,107090
119256,114461
261987,55351
236579,206669
236579,231230
236579,63384
111346,59289
200462,43481
204654,245441
144378,89319
160452,46854
201847,71595
14036,161379
249885,205526
87934,27821
8419,94719
8419,146441
8419,92580
8419,250858
8419,131037
228832,4198
131796,140001
100252,144158
248016,130202
50691,222505
110058,18377
43504,77424
136153,182099
50088,6796
91370,212946
64931,230971
247563,1809
93860,95334
120974,168362
102238,256422
66242,141038
190559,213931
108280,233350
108280,192244
15628,17619
125725,68105
105652,33154
57383,66458
43029,76505
132077,70566
126945,227867
178012,135362
78047,60840
56581,98921
56030,166929
56030,205593
96655,34297
135429,34570
135429,202714
97070,238657
207678,124974
102063,28577
136679,71479
24251,179878
243759,165878
64414,179274
244791,165338
185323,185268
64414,206913
46652,159202
122341,125961
96818,172579
63425,71097
81753,171504
90154,91234
190006,148927
88759,7437
217471,170092
160281,187601
188839,77601
188839,179191
245189,51229
57350,194333
58065,55932
29959,81674
253284,207494
58065,247174
47564,194483
205165,159458
260691,101620
215364,223014
149541,209070
76814,252314
144792,179530
203957,83228
232821,41256
64683,188183
58696,203244
153948,109501
233819,148060
153369,147956
98935,58155
78191,151328
11717,150947
156407,244820
40,254229
69602,214594
142911,204862
220377,27462
72887,87409
99918,105220
71449,129652
5192,258937
138496,243369
249899,86744
53069,115730
111970,359
237944,207266
